width,module,t,l1,optimizer,lr
64,trf_blocks.5.att.w_value,1,0.4564448595046997,adamw,0.001
64,trf_blocks.5.att.rope,1,0.4569525420665741,adamw,0.001
64,trf_blocks.5.att.rope,1,0.46560293436050415,adamw,0.001
64,trf_blocks.5.att.dropout,1,0.003908001817762852,adamw,0.001
64,trf_blocks.5.att.out_proj,1,0.08418993651866913,adamw,0.001
64,trf_blocks.5.att,1,0.08418993651866913,adamw,0.001
64,trf_blocks.5.drop_resid,1,0.08415663242340088,adamw,0.001
64,trf_blocks.5.norm2,1,0.7794651985168457,adamw,0.001
64,trf_blocks.5.ff.w1,1,0.4654471278190613,adamw,0.001
64,trf_blocks.5.ff.w3,1,0.46791550517082214,adamw,0.001
64,trf_blocks.5.ff.w2,1,0.08834288269281387,adamw,0.001
64,trf_blocks.5.ff,1,0.08834288269281387,adamw,0.001
64,trf_blocks.5.drop_resid,1,0.08842313289642334,adamw,0.001
64,trf_blocks.5,1,1.1909281015396118,adamw,0.001
64,trf_blocks,1,1.1909281015396118,adamw,0.001
64,final_norm,1,0.780285120010376,adamw,0.001
64,out_head,1,0.46196889877319336,adamw,0.001
64,,1,0.46196889877319336,adamw,0.001
64,tok_emb,2,0.7997463941574097,adamw,0.001
64,pos_emb,2,0.7944702506065369,adamw,0.001
64,drop_emb,2,1.1264657974243164,adamw,0.001
64,trf_blocks.0.norm1,2,0.7701407670974731,adamw,0.001
64,trf_blocks.0.att.w_key,2,0.4632507562637329,adamw,0.001
64,trf_blocks.0.att.w_query,2,0.46755263209342957,adamw,0.001
64,trf_blocks.0.att.w_value,2,0.46175557374954224,adamw,0.001
64,trf_blocks.0.att.rope,2,0.4668923020362854,adamw,0.001
64,trf_blocks.0.att.rope,2,0.46340417861938477,adamw,0.001
64,trf_blocks.0.att.dropout,2,0.0039062523283064365,adamw,0.001
64,trf_blocks.0.att.out_proj,2,0.07045009732246399,adamw,0.001
64,trf_blocks.0.att,2,0.07045009732246399,adamw,0.001
64,trf_blocks.0.drop_resid,2,0.07058598101139069,adamw,0.001
64,trf_blocks.0.norm2,2,0.7709958553314209,adamw,0.001
64,trf_blocks.0.ff.w1,2,0.4677976965904236,adamw,0.001
64,trf_blocks.0.ff.w3,2,0.4649586081504822,adamw,0.001
64,trf_blocks.0.ff.w2,2,0.09016849100589752,adamw,0.001
64,trf_blocks.0.ff,2,0.09016849100589752,adamw,0.001
64,trf_blocks.0.drop_resid,2,0.09017200767993927,adamw,0.001
64,trf_blocks.0,2,1.1432695388793945,adamw,0.001
64,trf_blocks.1.norm1,2,0.7724627256393433,adamw,0.001
64,trf_blocks.1.att.w_key,2,0.46550726890563965,adamw,0.001
64,trf_blocks.1.att.w_query,2,0.46554315090179443,adamw,0.001
64,trf_blocks.1.att.w_value,2,0.4680452048778534,adamw,0.001
64,trf_blocks.1.att.rope,2,0.4655337631702423,adamw,0.001
64,trf_blocks.1.att.rope,2,0.46563735604286194,adamw,0.001
64,trf_blocks.1.att.dropout,2,0.0039077335968613625,adamw,0.001
64,trf_blocks.1.att.out_proj,2,0.08085966110229492,adamw,0.001
64,trf_blocks.1.att,2,0.08085966110229492,adamw,0.001
64,trf_blocks.1.drop_resid,2,0.08087920397520065,adamw,0.001
64,trf_blocks.1.norm2,2,0.7733446359634399,adamw,0.001
64,trf_blocks.1.ff.w1,2,0.4671551585197449,adamw,0.001
64,trf_blocks.1.ff.w3,2,0.4648092985153198,adamw,0.001
64,trf_blocks.1.ff.w2,2,0.08860503137111664,adamw,0.001
64,trf_blocks.1.ff,2,0.08860503137111664,adamw,0.001
64,trf_blocks.1.drop_resid,2,0.08869853615760803,adamw,0.001
64,trf_blocks.1,2,1.1554443836212158,adamw,0.001
64,trf_blocks.2.norm1,2,0.7743828296661377,adamw,0.001
64,trf_blocks.2.att.w_key,2,0.45488059520721436,adamw,0.001
64,trf_blocks.2.att.w_query,2,0.4639805555343628,adamw,0.001
64,trf_blocks.2.att.w_value,2,0.4636363685131073,adamw,0.001
64,trf_blocks.2.att.rope,2,0.46368157863616943,adamw,0.001
64,trf_blocks.2.att.rope,2,0.45514345169067383,adamw,0.001
64,trf_blocks.2.att.dropout,2,0.003904931712895632,adamw,0.001
64,trf_blocks.2.att.out_proj,2,0.0747358426451683,adamw,0.001
64,trf_blocks.2.att,2,0.0747358426451683,adamw,0.001
64,trf_blocks.2.drop_resid,2,0.07467183470726013,adamw,0.001
64,trf_blocks.2.norm2,2,0.7752079367637634,adamw,0.001
64,trf_blocks.2.ff.w1,2,0.46530526876449585,adamw,0.001
64,trf_blocks.2.ff.w3,2,0.4650799036026001,adamw,0.001
64,trf_blocks.2.ff.w2,2,0.08910492062568665,adamw,0.001
64,trf_blocks.2.ff,2,0.08910492062568665,adamw,0.001
64,trf_blocks.2.drop_resid,2,0.08910603821277618,adamw,0.001
64,trf_blocks.2,2,1.165891170501709,adamw,0.001
64,trf_blocks.3.norm1,2,0.7763564586639404,adamw,0.001
64,trf_blocks.3.att.w_key,2,0.46737903356552124,adamw,0.001
64,trf_blocks.3.att.w_query,2,0.4579886794090271,adamw,0.001
64,trf_blocks.3.att.w_value,2,0.4697245955467224,adamw,0.001
64,trf_blocks.3.att.rope,2,0.4579882025718689,adamw,0.001
64,trf_blocks.3.att.rope,2,0.4675326347351074,adamw,0.001
64,trf_blocks.3.att.dropout,2,0.003904620883986354,adamw,0.001
64,trf_blocks.3.att.out_proj,2,0.08282671868801117,adamw,0.001
64,trf_blocks.3.att,2,0.08282671868801117,adamw,0.001
64,trf_blocks.3.drop_resid,2,0.08286328613758087,adamw,0.001
64,trf_blocks.3.norm2,2,0.7771816253662109,adamw,0.001
64,trf_blocks.3.ff.w1,2,0.46706876158714294,adamw,0.001
64,trf_blocks.3.ff.w3,2,0.4647257328033447,adamw,0.001
64,trf_blocks.3.ff.w2,2,0.08909930288791656,adamw,0.001
64,trf_blocks.3.ff,2,0.08909930288791656,adamw,0.001
64,trf_blocks.3.drop_resid,2,0.08915836364030838,adamw,0.001
64,trf_blocks.3,2,1.1759932041168213,adamw,0.001
64,trf_blocks.4.norm1,2,0.7776751518249512,adamw,0.001
64,trf_blocks.4.att.w_key,2,0.4617977738380432,adamw,0.001
64,trf_blocks.4.att.w_query,2,0.4660941958427429,adamw,0.001
64,trf_blocks.4.att.w_value,2,0.45848801732063293,adamw,0.001
64,trf_blocks.4.att.rope,2,0.46615082025527954,adamw,0.001
64,trf_blocks.4.att.rope,2,0.46184390783309937,adamw,0.001
64,trf_blocks.4.att.dropout,2,0.003906091209501028,adamw,0.001
64,trf_blocks.4.att.out_proj,2,0.08157702535390854,adamw,0.001
64,trf_blocks.4.att,2,0.08157702535390854,adamw,0.001
64,trf_blocks.4.drop_resid,2,0.08160953968763351,adamw,0.001
64,trf_blocks.4.norm2,2,0.7781075239181519,adamw,0.001
64,trf_blocks.4.ff.w1,2,0.46514806151390076,adamw,0.001
64,trf_blocks.4.ff.w3,2,0.469082772731781,adamw,0.001
64,trf_blocks.4.ff.w2,2,0.09074307978153229,adamw,0.001
64,trf_blocks.4.ff,2,0.09074307978153229,adamw,0.001
64,trf_blocks.4.drop_resid,2,0.090782031416893,adamw,0.001
64,trf_blocks.4,2,1.1818666458129883,adamw,0.001
64,trf_blocks.5.norm1,2,0.778853178024292,adamw,0.001
64,trf_blocks.5.att.w_key,2,0.4665384292602539,adamw,0.001
64,trf_blocks.5.att.w_query,2,0.4577530026435852,adamw,0.001
64,trf_blocks.5.att.w_value,2,0.45765191316604614,adamw,0.001
64,trf_blocks.5.att.rope,2,0.4576578438282013,adamw,0.001
64,trf_blocks.5.att.rope,2,0.46642249822616577,adamw,0.001
64,trf_blocks.5.att.dropout,2,0.003907772712409496,adamw,0.001
64,trf_blocks.5.att.out_proj,2,0.08394558727741241,adamw,0.001
64,trf_blocks.5.att,2,0.08394558727741241,adamw,0.001
64,trf_blocks.5.drop_resid,2,0.0837927982211113,adamw,0.001
64,trf_blocks.5.norm2,2,0.7795279622077942,adamw,0.001
64,trf_blocks.5.ff.w1,2,0.4649844467639923,adamw,0.001
64,trf_blocks.5.ff.w3,2,0.46797263622283936,adamw,0.001
64,trf_blocks.5.ff.w2,2,0.08857312798500061,adamw,0.001
64,trf_blocks.5.ff,2,0.08857312798500061,adamw,0.001
64,trf_blocks.5.drop_resid,2,0.08862727880477905,adamw,0.001
64,trf_blocks.5,2,1.1901607513427734,adamw,0.001
64,trf_blocks,2,1.1901607513427734,adamw,0.001
64,final_norm,2,0.7793958187103271,adamw,0.001
64,out_head,2,0.45887425541877747,adamw,0.001
64,,2,0.45887425541877747,adamw,0.001
64,tok_emb,3,0.7997393012046814,adamw,0.001
64,pos_emb,3,0.7944537997245789,adamw,0.001
64,drop_emb,3,1.1250067949295044,adamw,0.001
64,trf_blocks.0.norm1,3,0.7703869342803955,adamw,0.001
64,trf_blocks.0.att.w_key,3,0.46356624364852905,adamw,0.001
64,trf_blocks.0.att.w_query,3,0.46810418367385864,adamw,0.001
64,trf_blocks.0.att.w_value,3,0.46186602115631104,adamw,0.001
64,trf_blocks.0.att.rope,3,0.4679354131221771,adamw,0.001
64,trf_blocks.0.att.rope,3,0.4636354148387909,adamw,0.001
64,trf_blocks.0.att.dropout,3,0.003908770624548197,adamw,0.001
64,trf_blocks.0.att.out_proj,3,0.07143107801675797,adamw,0.001
64,trf_blocks.0.att,3,0.07143107801675797,adamw,0.001
64,trf_blocks.0.drop_resid,3,0.07144845277070999,adamw,0.001
64,trf_blocks.0.norm2,3,0.7713931798934937,adamw,0.001
64,trf_blocks.0.ff.w1,3,0.4680481553077698,adamw,0.001
64,trf_blocks.0.ff.w3,3,0.46571603417396545,adamw,0.001
64,trf_blocks.0.ff.w2,3,0.09059232473373413,adamw,0.001
64,trf_blocks.0.ff,3,0.09059232473373413,adamw,0.001
64,trf_blocks.0.drop_resid,3,0.0905206948518753,adamw,0.001
64,trf_blocks.0,3,1.1417710781097412,adamw,0.001
64,trf_blocks.1.norm1,3,0.772549569606781,adamw,0.001
64,trf_blocks.1.att.w_key,3,0.4655085504055023,adamw,0.001
64,trf_blocks.1.att.w_query,3,0.46619120240211487,adamw,0.001
64,trf_blocks.1.att.w_value,3,0.46802839636802673,adamw,0.001
64,trf_blocks.1.att.rope,3,0.46618881821632385,adamw,0.001
64,trf_blocks.1.att.rope,3,0.46573200821876526,adamw,0.001
64,trf_blocks.1.att.dropout,3,0.003905041143298149,adamw,0.001
64,trf_blocks.1.att.out_proj,3,0.08051320910453796,adamw,0.001
64,trf_blocks.1.att,3,0.08051320910453796,adamw,0.001
64,trf_blocks.1.drop_resid,3,0.08040240406990051,adamw,0.001
64,trf_blocks.1.norm2,3,0.7734987735748291,adamw,0.001
64,trf_blocks.1.ff.w1,3,0.46800094842910767,adamw,0.001
64,trf_blocks.1.ff.w3,3,0.4650666117668152,adamw,0.001
64,trf_blocks.1.ff.w2,3,0.0895201712846756,adamw,0.001
64,trf_blocks.1.ff,3,0.0895201712846756,adamw,0.001
64,trf_blocks.1.drop_resid,3,0.08956457674503326,adamw,0.001
64,trf_blocks.1,3,1.1546932458877563,adamw,0.001
64,trf_blocks.2.norm1,3,0.7745257616043091,adamw,0.001
64,trf_blocks.2.att.w_key,3,0.4554462134838104,adamw,0.001
64,trf_blocks.2.att.w_query,3,0.4647473394870758,adamw,0.001
64,trf_blocks.2.att.w_value,3,0.46344542503356934,adamw,0.001
64,trf_blocks.2.att.rope,3,0.4646075367927551,adamw,0.001
64,trf_blocks.2.att.rope,3,0.4555213451385498,adamw,0.001
64,trf_blocks.2.att.dropout,3,0.003906825557351112,adamw,0.001
64,trf_blocks.2.att.out_proj,3,0.07477784156799316,adamw,0.001
64,trf_blocks.2.att,3,0.07477784156799316,adamw,0.001
64,trf_blocks.2.drop_resid,3,0.07476725429296494,adamw,0.001
64,trf_blocks.2.norm2,3,0.7754559516906738,adamw,0.001
64,trf_blocks.2.ff.w1,3,0.4656032621860504,adamw,0.001
64,trf_blocks.2.ff.w3,3,0.4655366539955139,adamw,0.001
64,trf_blocks.2.ff.w2,3,0.08962109684944153,adamw,0.001
64,trf_blocks.2.ff,3,0.08962109684944153,adamw,0.001
64,trf_blocks.2.drop_resid,3,0.08953327685594559,adamw,0.001
64,trf_blocks.2,3,1.1654882431030273,adamw,0.001
64,trf_blocks.3.norm1,3,0.7765492796897888,adamw,0.001
64,trf_blocks.3.att.w_key,3,0.46692121028900146,adamw,0.001
64,trf_blocks.3.att.w_query,3,0.45804351568222046,adamw,0.001
64,trf_blocks.3.att.w_value,3,0.4695523977279663,adamw,0.001
64,trf_blocks.3.att.rope,3,0.4580373466014862,adamw,0.001
64,trf_blocks.3.att.rope,3,0.46696436405181885,adamw,0.001
64,trf_blocks.3.att.dropout,3,0.003904982004314661,adamw,0.001
64,trf_blocks.3.att.out_proj,3,0.08503080904483795,adamw,0.001
64,trf_blocks.3.att,3,0.08503080904483795,adamw,0.001
64,trf_blocks.3.drop_resid,3,0.08516241610050201,adamw,0.001
64,trf_blocks.3.norm2,3,0.7776296138763428,adamw,0.001
64,trf_blocks.3.ff.w1,3,0.4678265452384949,adamw,0.001
64,trf_blocks.3.ff.w3,3,0.4654110372066498,adamw,0.001
64,trf_blocks.3.ff.w2,3,0.09024204313755035,adamw,0.001
64,trf_blocks.3.ff,3,0.09024204313755035,adamw,0.001
64,trf_blocks.3.drop_resid,3,0.09015476703643799,adamw,0.001
64,trf_blocks.3,3,1.1761456727981567,adamw,0.001
64,trf_blocks.4.norm1,3,0.7781329154968262,adamw,0.001
64,trf_blocks.4.att.w_key,3,0.4621802568435669,adamw,0.001
64,trf_blocks.4.att.w_query,3,0.467033326625824,adamw,0.001
64,trf_blocks.4.att.w_value,3,0.4589882791042328,adamw,0.001
64,trf_blocks.4.att.rope,3,0.46709299087524414,adamw,0.001
64,trf_blocks.4.att.rope,3,0.46217429637908936,adamw,0.001
64,trf_blocks.4.att.dropout,3,0.0039038266986608505,adamw,0.001
64,trf_blocks.4.att.out_proj,3,0.08506931364536285,adamw,0.001
64,trf_blocks.4.att,3,0.08506931364536285,adamw,0.001
64,trf_blocks.4.drop_resid,3,0.08527874946594238,adamw,0.001
64,trf_blocks.4.norm2,3,0.77880859375,adamw,0.001
64,trf_blocks.4.ff.w1,3,0.4657154977321625,adamw,0.001
64,trf_blocks.4.ff.w3,3,0.46963125467300415,adamw,0.001
64,trf_blocks.4.ff.w2,3,0.09123001992702484,adamw,0.001
64,trf_blocks.4.ff,3,0.09123001992702484,adamw,0.001
64,trf_blocks.4.drop_resid,3,0.09123988449573517,adamw,0.001
64,trf_blocks.4,3,1.183369755744934,adamw,0.001
64,trf_blocks.5.norm1,3,0.7795652151107788,adamw,0.001
